"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2023","146.700","146.420","146.720","145.580","1.88M","0.84%"
"11/30/2023","145.480","145.000","146.620","144.600","3.86M","0.65%"
"11/29/2023","144.540","142.900","144.960","142.760","1.56M","1.40%"
"11/28/2023","142.540","141.100","142.580","140.980","1.14M","0.66%"
"11/27/2023","141.600","140.720","141.880","140.420","1.30M","0.37%"
"11/24/2023","141.080","141.600","141.860","140.540","1.39M","-1.00%"
"11/23/2023","142.500","140.760","142.540","140.760","1.48M","0.95%"
"11/22/2023","141.160","139.780","142.080","139.720","1.90M","1.23%"
"11/21/2023","139.440","139.520","140.500","139.120","1.77M","-0.34%"
"11/20/2023","139.920","137.220","140.100","137.160","2.04M","1.97%"
"11/17/2023","137.220","136.640","137.760","136.560","1.85M","0.57%"
"11/16/2023","136.440","136.680","137.500","136.440","1.43M","-0.60%"
"11/15/2023","137.260","135.620","137.260","135.220","1.47M","0.73%"
"11/14/2023","136.260","135.120","137.320","134.500","2.06M","0.62%"
"11/13/2023","135.420","134.840","135.420","134.360","1.31M","0.42%"
"11/10/2023","134.860","133.900","135.120","133.600","1.37M","0.10%"
"11/09/2023","134.720","132.520","134.720","132.240","1.36M","1.16%"
"11/08/2023","133.180","131.260","133.180","130.860","1.95M","1.08%"
"11/07/2023","131.760","129.000","132.380","128.780","1.57M","2.36%"
"11/06/2023","128.720","128.980","129.300","128.420","1.11M","-0.43%"
"11/03/2023","129.280","129.480","129.900","128.180","1.79M","-0.65%"
"11/02/2023","130.120","128.480","130.840","128.280","1.86M","1.80%"
"11/01/2023","127.820","127.100","128.320","126.100","1.12M","0.85%"
"10/31/2023","126.740","125.740","126.760","125.200","1.28M","0.91%"
"10/30/2023","125.600","125.220","126.100","124.860","1.10M","0.46%"
"10/27/2023","125.020","125.260","125.640","124.280","1.35M","0.19%"
"10/26/2023","124.780","123.000","125.680","122.820","1.60M","-0.18%"
"10/25/2023","125.000","125.500","125.980","124.540","1.22M","-0.60%"
"10/24/2023","125.760","124.040","125.960","123.640","1.59M","1.48%"
"10/23/2023","123.920","123.800","124.660","122.460","1.39M","0.00%"
"10/20/2023","123.920","125.100","126.160","123.860","2.97M","-2.64%"
"10/19/2023","127.280","125.440","129.760","125.200","3.32M","5.07%"
"10/18/2023","121.140","122.760","123.000","121.100","1.90M","-1.77%"
"10/17/2023","123.320","123.100","124.200","121.700","1.36M","0.54%"
"10/16/2023","122.660","123.000","123.520","121.940","1.47M","0.39%"
"10/13/2023","122.180","125.200","125.520","121.840","1.94M","-2.75%"
"10/12/2023","125.640","125.200","126.140","124.980","1.14M","0.64%"
"10/11/2023","124.840","123.800","124.840","123.640","1.40M","0.55%"
"10/10/2023","124.160","123.180","124.340","122.240","1.59M","1.57%"
"10/09/2023","122.240","123.100","123.200","121.740","1.21M","-1.07%"
"10/06/2023","123.560","122.260","123.560","121.460","1.56M","1.16%"
"10/05/2023","122.140","122.220","122.860","121.740","1.14M","0.11%"
"10/04/2023","122.000","121.660","123.120","121.280","1.50M","-0.25%"
"10/03/2023","122.300","122.560","123.720","121.820","1.21M","-0.46%"
"10/02/2023","122.860","123.100","123.840","122.200","1.55M","0.03%"
"09/29/2023","122.820","121.760","124.140","121.700","1.83M","1.10%"
"09/28/2023","121.480","121.160","122.120","120.260","1.44M","0.18%"
"09/27/2023","121.260","121.220","122.320","120.800","1.87M","0.23%"
"09/26/2023","120.980","122.700","123.360","120.480","2.61M","-2.76%"
"09/25/2023","124.420","124.900","125.300","123.280","1.96M","-0.51%"
"09/22/2023","125.060","122.900","125.060","122.380","2.26M","0.82%"
"09/21/2023","124.040","124.680","125.520","123.840","2.59M","-1.13%"
"09/20/2023","125.460","126.480","127.040","124.680","1.30M","-0.29%"
"09/19/2023","125.820","126.160","126.360","125.220","1.03M","-0.68%"
"09/18/2023","126.680","126.600","127.200","125.900","977.04K","-0.42%"
"09/15/2023","127.220","128.240","129.240","126.500","6.52M","-0.14%"
"09/14/2023","127.400","126.800","127.700","125.780","2.12M","0.68%"
"09/13/2023","126.540","125.800","126.700","125.480","1.30M","-0.05%"
"09/12/2023","126.600","127.800","127.800","124.840","2.24M","-1.78%"
"09/11/2023","128.900","131.040","131.200","128.480","2.02M","-1.96%"
"09/08/2023","131.480","130.860","131.700","130.120","1.90M","0.94%"
"09/07/2023","130.260","128.720","130.480","128.480","1.82M","1.01%"
"09/06/2023","128.960","128.540","129.200","127.840","1.22M","0.55%"
